% function evaluation | noise-free fitness - Fopt (-9.166000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.699029502e+03 +1.699029502e+03 +1.607369502e+03 +1.607369502e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
5 +1.344775429e+03 +1.344775429e+03 +1.253115429e+03 +1.253115429e+03 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
43 +7.112334629e+02 +7.112334629e+02 +6.195734629e+02 +6.195734629e+02 +3.6925e+00 -2.5115e-01 -4.8085e-01 -2.5271e+00 +3.4822e+00 +1.0089e+00 +4.0522e+00 -2.2203e+00 -4.4337e+00 +4.8420e+00 +1.3667e+00 -2.1969e+00 -2.2762e+00 +2.9880e+00 +4.4146e-01 +3.5301e+00 +2.2292e+00 -2.1860e+00 +4.5004e+00 -1.4546e-01
78 +5.785430477e+02 +5.785430477e+02 +4.868830477e+02 +4.868830477e+02 -2.2922e+00 -3.8008e+00 +2.6795e+00 +4.5360e+00 -1.8637e+00 -2.2245e+00 +3.9389e+00 +1.8060e+00 +2.4979e+00 +4.2544e+00 -2.3420e+00 +4.6018e-01 -7.1019e-01 +1.0431e-01 +7.8805e-02 +3.5210e+00 +3.3662e+00 -2.6734e+00 -4.0467e+00 +2.8110e+00
% function evaluation | noise-free fitness - Fopt (5.961500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.389111413e+03 +2.389111413e+03 +2.985261413e+03 +2.985261413e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
8 +1.323086997e+03 +1.323086997e+03 +1.919236997e+03 +1.919236997e+03 +2.6384e+00 -1.6243e+00 -2.8947e+00 +9.4687e-01 +4.7634e+00 +3.3811e+00 +7.6928e-01 -4.8589e+00 +5.1321e-01 +3.3567e+00 -2.4346e+00 +2.9541e+00 -1.6852e+00 +3.9242e+00 -2.1498e+00 +5.2187e-01 +2.2975e-01 -4.3779e+00 +1.0779e+00 +1.8851e+00
18 +9.005150712e+02 +9.005150712e+02 +1.496665071e+03 +1.496665071e+03 -3.9024e-01 -2.8740e+00 -2.2689e+00 +1.2948e+00 +1.4631e+00 -2.0998e+00 -3.3686e+00 +6.3188e-01 -2.8744e+00 -3.8943e-01 -1.6773e+00 -7.4516e-01 -1.7111e+00 +4.4473e-01 -1.6000e+00 -2.4239e-01 +4.0083e+00 -4.0709e+00 +4.0890e+00 +3.2711e+00
% function evaluation | noise-free fitness - Fopt (1.325100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.838149045e+03 +3.838149045e+03 +3.970659045e+03 +3.970659045e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +2.410583484e+03 +2.410583484e+03 +2.543093484e+03 +2.543093484e+03 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
5 +1.385404797e+03 +1.385404797e+03 +1.517914797e+03 +1.517914797e+03 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
