% function evaluation | noise-free fitness - Fopt (5.832000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.443009834e+07 +2.443009834e+07 +2.443015666e+07 +2.443015666e+07 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.562057401e+07 +1.562057401e+07 +1.562063233e+07 +1.562063233e+07 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
5 +7.291427918e+06 +7.291427918e+06 +7.291486238e+06 +7.291486238e+06 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
33 +1.977519027e+06 +1.977519027e+06 +1.977577347e+06 +1.977577347e+06 +4.5746e+00 -2.0261e+00 -1.5587e+00 +1.7746e+00 +7.6932e-01 -3.5282e+00 +2.6288e+00 +3.6699e+00 -2.3914e-01 +3.4390e+00 -3.5116e+00 -3.5025e+00 +3.2925e+00 -2.3709e+00 +1.8350e+00 -3.3833e+00 -1.1747e+00 +1.8524e+00 +2.6345e+00 +1.1008e+00
% function evaluation | noise-free fitness - Fopt (1.932700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.639533597e+07 +2.639533597e+07 +2.639552924e+07 +2.639552924e+07 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.245370969e+07 +1.245370969e+07 +1.245390296e+07 +1.245390296e+07 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
5 +9.691545796e+06 +9.691545796e+06 +9.691739066e+06 +9.691739066e+06 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
15 +4.959332077e+06 +4.959332077e+06 +4.959525347e+06 +4.959525347e+06 +3.1527e+00 +7.3683e-01 -3.5271e+00 -4.4282e+00 +1.1100e+00 +4.6303e+00 +1.4110e+00 -2.2855e+00 +3.4271e+00 -4.1522e+00 +2.2036e+00 +9.8612e-01 +1.5909e+00 -4.9250e+00 +1.2844e+00 -4.8487e+00 +3.7483e+00 +2.9109e+00 -9.4389e-01 -1.5703e-01
77 +2.548699197e+06 +2.548699197e+06 +2.548892467e+06 +2.548892467e+06 +1.0342e+00 +4.0062e+00 +2.5002e+00 -4.5096e+00 -3.9472e+00 -1.9499e-02 -1.4929e+00 +3.5514e+00 -2.1545e+00 +4.1470e+00 +9.7134e-02 -4.7287e+00 +3.7345e+00 -1.1982e+00 -1.5139e-01 +3.2262e+00 +2.5010e+00 -1.3005e+00 -1.1543e+00 +7.6313e-01
