% function evaluation | noise-free fitness - Fopt (7.273000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.563180516e+03 +3.563180516e+03 +3.635910516e+03 +3.635910516e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.567976490e+03 +1.567976490e+03 +1.640706490e+03 +1.640706490e+03 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
83 +9.054204989e+02 +9.054204989e+02 +9.781504989e+02 +9.781504989e+02 -2.8564e+00 -4.5727e+00 +2.9756e+00 +1.7048e+00 -6.6754e-01 +1.8368e+00 -3.1148e+00 -3.4012e+00 -3.5932e+00 +3.9085e-02 -1.1509e+00 -3.0706e+00 -3.9428e-01 -3.7681e+00 +6.5343e-02 -1.6281e+00 +1.2215e+00 -3.2471e+00 +2.3186e+00 -1.3680e+00
% function evaluation | noise-free fitness - Fopt (1.368700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.574558531e+03 +4.574558531e+03 +4.711428531e+03 +4.711428531e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +2.025151835e+03 +2.025151835e+03 +2.162021835e+03 +2.162021835e+03 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
41 +1.333921547e+03 +1.333921547e+03 +1.470791547e+03 +1.470791547e+03 +3.8454e+00 +2.5948e+00 -2.1763e+00 +4.7606e+00 -1.2629e+00 -4.6498e-01 -1.2977e+00 -8.6372e-01 -3.2499e+00 -4.4530e+00 -2.2170e+00 -4.4733e+00 -1.7253e+00 +1.3704e+00 +2.1134e+00 +1.3643e-01 -2.8062e+00 -4.3562e-01 +1.8563e+00 -4.0291e+00
88 +9.038790703e+02 +9.038790703e+02 +1.040749070e+03 +1.040749070e+03 -3.9433e+00 +3.7575e+00 +3.2321e+00 -2.6502e+00 -1.8719e+00 +2.2951e+00 -1.0095e+00 +2.1715e+00 -1.0422e+00 +1.2566e-01 -1.1299e+00 -6.2554e-01 -1.3608e+00 +4.1848e+00 +3.6202e+00 -1.4001e+00 -7.1147e-02 -1.6680e+00 -4.7399e+00 -1.3123e+00
% function evaluation | noise-free fitness - Fopt (2.196000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.751676208e+03 +4.751676208e+03 +4.773636208e+03 +4.773636208e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
