% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.493528824e+09 +1.493528824e+09 +1.493528203e+09 +1.493528203e+09 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
14 +2.293986158e+08 +2.293986158e+08 +2.293979947e+08 +2.293979947e+08 -4.1780e+00 +4.3552e+00 +1.0236e+00 -1.3673e+00 -4.2889e+00 -1.1912e+00 +3.1719e+00 -1.8347e-01 +4.7603e+00 -2.3866e+00 +1.1226e+00 -4.5378e+00 -2.4567e+00 +1.6748e+00 -1.4501e+00 -3.6386e+00 +4.8112e+00 +3.3996e+00 +4.0291e+00 -2.3993e+00
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.733845428e+08 +9.733845428e+08 +9.733842880e+08 +9.733842880e+08 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
19 +5.502944820e+08 +5.502944820e+08 +5.502942272e+08 +5.502942272e+08 +1.0447e+00 +9.9770e-01 +2.7568e+00 +7.5323e-02 +1.1842e+00 -1.8764e+00 -3.4019e-03 +3.4584e+00 -2.2559e+00 -2.5383e+00 -4.9492e+00 +3.3619e+00 -3.3091e-01 -5.9185e-01 +1.3378e+00 -4.0070e+00 +2.1210e+00 +1.0354e+00 -4.9821e+00 +2.1663e+00
35 +3.225478494e+08 +3.225478494e+08 +3.225475946e+08 +3.225475946e+08 -4.3956e-01 -8.9856e-01 +1.6814e+00 +2.4454e+00 -1.9350e+00 +2.3157e-01 -7.4737e-01 +3.3452e+00 +3.7987e+00 -1.5435e+00 +8.2842e-01 +1.2718e+00 +1.9835e+00 +3.7212e-01 -6.2796e-01 +2.2829e+00 +1.2100e+00 -1.5398e+00 -4.6313e+00 -3.1322e+00
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.503146990e+09 +1.503146990e+09 +1.503147047e+09 +1.503147047e+09 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +6.026037859e+08 +6.026037859e+08 +6.026038425e+08 +6.026038425e+08 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
20 +2.488616595e+08 +2.488616595e+08 +2.488617161e+08 +2.488617161e+08 -7.5780e-01 -1.1157e-01 +7.3709e-01 -4.6407e+00 -2.6740e+00 -4.5940e+00 -3.1744e+00 -1.3496e+00 -1.4738e+00 +2.6441e+00 -3.7722e+00 +4.2144e+00 -2.0379e+00 +4.6783e+00 -8.7739e-01 +1.0890e+00 +2.2344e-01 +2.6992e+00 +1.5822e+00 -4.8664e+00
% function evaluation | noise-free fitness - Fopt (-1.810000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.190540755e+09 +4.190540755e+09 +4.190540737e+09 +4.190540737e+09 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.550936161e+09 +1.550936161e+09 +1.550936143e+09 +1.550936143e+09 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
3 +9.290854873e+08 +9.290854873e+08 +9.290854692e+08 +9.290854692e+08 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
5 +2.429292139e+08 +2.429292139e+08 +2.429291958e+08 +2.429291958e+08 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
% function evaluation | noise-free fitness - Fopt (3.777000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.519577070e+08 +7.519577070e+08 +7.519577448e+08 +7.519577448e+08 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
5 +2.906657288e+08 +2.906657288e+08 +2.906657666e+08 +2.906657666e+08 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
12 +2.118760142e+08 +2.118760142e+08 +2.118760520e+08 +2.118760520e+08 -3.2989e+00 +1.6448e+00 +1.8198e+00 +2.0942e-01 +1.8632e+00 +4.0093e+00 -1.3215e+00 +4.3981e+00 -3.4588e+00 -4.6136e+00 -1.4208e+00 +4.0558e-02 -3.9965e+00 +3.0589e+00 -6.5893e-01 -2.9457e+00 -4.6390e+00 +4.5621e+00 -4.2239e+00 -3.9365e-01
41 +1.560395910e+08 +1.560395910e+08 +1.560396287e+08 +1.560396287e+08 +3.8454e+00 +2.5948e+00 -2.1763e+00 +4.7606e+00 -1.2629e+00 -4.6498e-01 -1.2977e+00 -8.6372e-01 -3.2499e+00 -4.4530e+00 -2.2170e+00 -4.4733e+00 -1.7253e+00 +1.3704e+00 +2.1134e+00 +1.3643e-01 -2.8062e+00 -4.3562e-01 +1.8563e+00 -4.0291e+00
