% function evaluation | noise-free fitness - Fopt (1.467200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.895251371e+00 +9.895251371e+00 +1.566152514e+02 +1.566152514e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
% function evaluation | noise-free fitness - Fopt (-5.919800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.750666457e+01 +2.750666457e+01 -5.644733354e+02 -5.644733354e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.118457127e+01 +1.118457127e+01 -5.807954287e+02 -5.807954287e+02 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
3 +8.590596337e+00 +8.590596337e+00 -5.833894037e+02 -5.833894037e+02 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
46 +5.517262946e+00 +5.517262946e+00 -5.864627371e+02 -5.864627371e+02 -2.7233e+00 +4.1322e+00 +1.2122e+00 -6.2887e-01 +3.8728e+00 -4.5817e+00 +7.4960e-01 -8.0148e-01 -1.0138e+00 -4.2586e+00 -1.8802e-03 +3.5071e+00 -1.3078e+00 -6.3364e-02 +1.2853e+00 +5.0184e-01 -1.0603e+00 +1.3823e+00 -3.4474e+00 +1.5078e+00
% function evaluation | noise-free fitness - Fopt (7.429000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.998281274e+01 +2.998281274e+01 +1.042728127e+02 +1.042728127e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.415874201e+01 +1.415874201e+01 +8.844874201e+01 +8.844874201e+01 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
4 +8.343184754e+00 +8.343184754e+00 +8.263318475e+01 +8.263318475e+01 +4.6560e+00 -4.6556e+00 -4.3050e+00 +4.2233e+00 +4.2652e+00 +3.9650e+00 -3.9738e+00 +2.9711e+00 +4.2334e+00 -4.9474e+00 +1.9460e+00 -9.4486e-01 -3.2559e+00 -1.1383e+00 +2.4925e+00 -2.5095e+00 +8.0383e-01 -4.7298e+00 +8.8745e-01 +3.8622e+00
99 +6.101089046e+00 +6.101089046e+00 +8.039108905e+01 +8.039108905e+01 -2.9969e+00 -1.5831e+00 -4.7130e+00 +4.5930e+00 -2.6041e+00 -4.1933e+00 -4.0970e+00 +9.8565e-01 +3.2330e+00 -9.1312e-01 +2.0679e+00 +3.7836e+00 -1.9752e-01 -2.8858e+00 +3.9397e+00 -4.9081e-02 -2.3745e+00 -1.7930e+00 -2.2846e-01 -3.1454e+00
% function evaluation | noise-free fitness - Fopt (-3.490000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.265707859e+01 +1.265707859e+01 +9.167078591e+00 +9.167078591e+00 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
