% function evaluation | noise-free fitness - Fopt (8.539000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.678278489e+01 +2.678278489e+01 +1.121727849e+02 +1.121727849e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.928439886e+01 +1.928439886e+01 +1.046743989e+02 +1.046743989e+02 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
3 +1.221051423e+01 +1.221051423e+01 +9.760051423e+01 +9.760051423e+01 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
9 +8.569476612e+00 +8.569476612e+00 +9.395947661e+01 +9.395947661e+01 -1.4005e+00 +4.0279e+00 +1.8361e+00 +1.1928e+00 -1.5728e+00 +4.1318e+00 -7.8069e-02 +7.7819e-01 +3.4488e+00 +2.1785e+00 -2.2266e+00 -3.2690e+00 -4.1450e+00 -3.8735e-01 -3.4129e+00 +1.8991e+00 -1.4349e+00 -7.2981e-01 -4.5699e+00 -2.8152e+00
43 +6.225537167e+00 +6.225537167e+00 +9.161553717e+01 +9.161553717e+01 +3.6925e+00 -2.5115e-01 -4.8085e-01 -2.5271e+00 +3.4822e+00 +1.0089e+00 +4.0522e+00 -2.2203e+00 -4.4337e+00 +4.8420e+00 +1.3667e+00 -2.1969e+00 -2.2762e+00 +2.9880e+00 +4.4146e-01 +3.5301e+00 +2.2292e+00 -2.1860e+00 +4.5004e+00 -1.4546e-01
% function evaluation | noise-free fitness - Fopt (-9.872900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.335318604e+01 +1.335318604e+01 -9.739368140e+02 -9.739368140e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
10 +6.752989691e+00 +6.752989691e+00 -9.805370103e+02 -9.805370103e+02 -3.4719e+00 +3.9557e-01 -2.8446e+00 +4.5067e+00 +3.2044e+00 +2.8560e+00 -1.4458e+00 -3.9359e+00 -4.0909e+00 +1.3651e+00 -1.1718e+00 +3.8359e+00 +1.8714e+00 -3.1091e+00 -4.8695e+00 +4.1803e+00 -4.9001e+00 -3.5422e+00 +2.1031e+00 -1.8608e+00
% function evaluation | noise-free fitness - Fopt (-1.517600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.324501941e+01 +1.324501941e+01 -1.385149806e+02 -1.385149806e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
