% function evaluation | noise-free fitness - Fopt (3.914000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.731448237e+06 +2.731448237e+06 +2.731487377e+06 +2.731487377e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +1.974224176e+06 +1.974224176e+06 +1.974263316e+06 +1.974263316e+06 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
16 +1.079059168e+06 +1.079059168e+06 +1.079098308e+06 +1.079098308e+06 +2.3183e+00 -4.7614e+00 -2.6018e+00 +2.6097e+00 +2.1237e+00 -1.3652e+00 +3.6204e-01 -1.6886e+00 -2.9395e+00 +2.1651e+00 -4.3870e+00 -4.9192e+00 +3.8791e+00 +2.7267e-01 +2.8341e+00 -7.4496e-02 +4.3375e+00 -4.2943e+00 +2.5227e+00 -1.1147e+00
18 +8.655488054e+05 +8.655488054e+05 +8.655879454e+05 +8.655879454e+05 -3.9024e-01 -2.8740e+00 -2.2689e+00 +1.2948e+00 +1.4631e+00 -2.0998e+00 -3.3686e+00 +6.3188e-01 -2.8744e+00 -3.8943e-01 -1.6773e+00 -7.4516e-01 -1.7111e+00 +4.4473e-01 -1.6000e+00 -2.4239e-01 +4.0083e+00 -4.0709e+00 +4.0890e+00 +3.2711e+00
% function evaluation | noise-free fitness - Fopt (-1.186000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.117264216e+06 +1.117264216e+06 +1.117252356e+06 +1.117252356e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
15 +6.496442321e+05 +6.496442321e+05 +6.496323721e+05 +6.496323721e+05 +3.1527e+00 +7.3683e-01 -3.5271e+00 -4.4282e+00 +1.1100e+00 +4.6303e+00 +1.4110e+00 -2.2855e+00 +3.4271e+00 -4.1522e+00 +2.2036e+00 +9.8612e-01 +1.5909e+00 -4.9250e+00 +1.2844e+00 -4.8487e+00 +3.7483e+00 +2.9109e+00 -9.4389e-01 -1.5703e-01
34 +5.771716436e+05 +5.771716436e+05 +5.771597836e+05 +5.771597836e+05 +1.4268e+00 +1.0758e+00 +2.7575e-01 -3.2961e+00 +2.7488e+00 +2.6363e+00 -4.7522e+00 -1.2214e+00 +1.4334e+00 +9.1845e-01 +1.9226e+00 +8.4740e-01 +4.0986e+00 +3.3897e+00 +4.1991e+00 -6.3911e-01 +4.0360e+00 +2.2463e+00 -4.4948e+00 +2.4644e+00
% function evaluation | noise-free fitness - Fopt (7.068000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.021466925e+06 +1.021466925e+06 +1.021537605e+06 +1.021537605e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +4.970949220e+05 +4.970949220e+05 +4.971656020e+05 +4.971656020e+05 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
31 +2.577705664e+05 +2.577705664e+05 +2.578412464e+05 +2.578412464e+05 +4.5914e+00 +1.6071e+00 +2.0035e+00 -1.0751e+00 -8.7266e-01 -1.5045e-01 -2.0307e+00 -1.7077e+00 -4.1636e+00 +3.2952e+00 +2.6692e+00 +3.7742e+00 +3.2269e+00 +3.7532e+00 +2.1970e+00 -4.2566e+00 -3.6902e+00 -4.0384e+00 +3.5435e+00 -2.7284e+00
94 +2.385972669e+05 +2.385972669e+05 +2.386679469e+05 +2.386679469e+05 +3.8988e+00 +4.7288e+00 -3.1831e+00 -4.1665e+00 +3.8036e+00 -2.0438e-01 -4.7632e+00 +4.4650e+00 -1.6856e+00 +2.2181e+00 +1.7547e+00 +1.6934e+00 +1.4836e+00 +5.5223e-01 +3.6943e+00 -4.5647e+00 -2.3236e+00 -1.8979e+00 -2.2794e+00 +1.4455e+00
% function evaluation | noise-free fitness - Fopt (-6.260000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.765284081e+05 +3.765284081e+05 +3.765221481e+05 +3.765221481e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
53 +1.171561573e+05 +1.171561573e+05 +1.171498973e+05 +1.171498973e+05 +4.2101e+00 +2.5669e+00 +4.5798e+00 -3.4200e+00 +2.4851e+00 +2.2758e-03 -1.3961e+00 +2.3018e-01 +2.1032e+00 -3.5584e+00 +2.7172e+00 -1.7269e+00 -5.4868e-01 -1.8593e+00 -1.0155e+00 +2.2644e+00 +2.6706e+00 +3.6922e+00 -7.3420e-01 -6.4789e-01
% function evaluation | noise-free fitness - Fopt (1.838600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.486734248e+05 +8.486734248e+05 +8.488572848e+05 +8.488572848e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
18 +6.259631250e+05 +6.259631250e+05 +6.261469850e+05 +6.261469850e+05 -3.9024e-01 -2.8740e+00 -2.2689e+00 +1.2948e+00 +1.4631e+00 -2.0998e+00 -3.3686e+00 +6.3188e-01 -2.8744e+00 -3.8943e-01 -1.6773e+00 -7.4516e-01 -1.7111e+00 +4.4473e-01 -1.6000e+00 -2.4239e-01 +4.0083e+00 -4.0709e+00 +4.0890e+00 +3.2711e+00
49 +3.468336520e+05 +3.468336520e+05 +3.470175120e+05 +3.470175120e+05 -1.2101e+00 -2.8012e+00 +3.2141e+00 -1.6331e-01 +2.2009e+00 +1.0725e+00 -1.3568e+00 -4.5833e+00 -1.7194e+00 -1.0332e+00 +3.5355e+00 +1.5529e+00 -8.6011e-03 -3.1885e-01 -3.4771e+00 +4.7470e+00 +3.5571e+00 +4.7761e+00 +3.9013e+00 -3.0438e+00
