% function evaluation | noise-free fitness - Fopt (3.098000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.600290095e+05 +7.600290095e+05 +7.600599895e+05 +7.600599895e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
11 +5.773256314e+05 +5.773256314e+05 +5.773566114e+05 +5.773566114e+05 +7.8742e-01 +4.0739e+00 -2.9461e+00 +4.7141e+00 -7.8722e-01 -7.4041e-01 -4.1757e+00 -2.5769e+00 +4.3185e+00 +1.2889e+00 -3.4531e+00 +5.3057e-01 -2.0735e+00 +8.2900e-01 +4.3867e+00 -4.5923e+00 -4.6364e+00 +7.9193e-01 -4.9848e+00 -2.1582e+00
38 +3.384616430e+05 +3.384616430e+05 +3.384926230e+05 +3.384926230e+05 -7.3833e-01 -3.1853e+00 +1.7559e+00 -1.2870e+00 -3.5327e+00 +4.8902e-01 -9.6921e-01 +2.5671e+00 -1.0138e+00 +4.8932e+00 -7.6484e-01 -3.7563e+00 +2.1947e+00 -3.4233e+00 -4.7501e+00 +2.4590e+00 -1.0803e+00 +3.8358e+00 -1.7379e+00 -9.9841e-01
% function evaluation | noise-free fitness - Fopt (-1.445400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.928441461e+05 +3.928441461e+05 +3.926996061e+05 +3.926996061e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
27 +6.142832640e+04 +6.142832640e+04 +6.128378640e+04 +6.128378640e+04 -3.4056e+00 -4.1559e+00 -1.2823e+00 +3.9305e+00 -3.6471e+00 +4.5092e+00 -4.7421e-01 +1.9545e+00 +2.4643e+00 -1.3566e+00 +4.6607e+00 -2.7207e+00 +2.4319e+00 -4.4369e+00 +3.3489e+00 -2.3238e+00 +3.4932e+00 -1.9311e+00 +1.3139e+00 +4.0151e+00
% function evaluation | noise-free fitness - Fopt (-9.649000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.068755241e+06 +1.068755241e+06 +1.068658751e+06 +1.068658751e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +7.144394817e+05 +7.144394817e+05 +7.143429917e+05 +7.143429917e+05 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
13 +5.797192785e+05 +5.797192785e+05 +5.796227885e+05 +5.796227885e+05 +2.4991e+00 -1.9384e+00 -4.7756e+00 +3.6361e+00 -3.7279e+00 +2.1136e+00 +4.9934e-01 +2.7093e+00 -3.4274e+00 -4.3980e+00 -4.9593e+00 -2.3553e+00 -4.7812e-01 +2.9855e+00 +2.7789e+00 -4.6047e+00 -3.7758e+00 +3.8020e+00 -1.4761e+00 -7.6161e-01
61 +2.480551072e+05 +2.480551072e+05 +2.479586172e+05 +2.479586172e+05 -1.3917e+00 +3.5897e+00 +1.9687e+00 +1.3176e+00 +4.8593e-01 +8.9325e-01 +4.9447e+00 -3.5689e-01 -4.7733e+00 +3.8220e-01 +1.0343e+00 +1.9273e+00 +1.6192e+00 -3.6633e+00 -6.8033e-01 -3.5874e+00 +1.3798e+00 +2.7304e+00 +3.4348e+00 +3.8338e+00
90 +1.138390356e+05 +1.138390356e+05 +1.137425456e+05 +1.137425456e+05 -5.1609e-03 +4.9600e+00 -1.2703e+00 -9.6909e-01 +1.8920e+00 +4.7622e+00 +3.0553e+00 -1.9963e+00 -4.0327e+00 +8.6607e-01 -1.4448e+00 -3.8803e+00 -1.3462e+00 +1.5810e+00 +2.7802e+00 -4.2657e+00 -3.6124e+00 -9.3766e-01 +4.3064e+00 +1.8706e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.266282964e+05 +3.266282964e+05 +3.276282964e+05 +3.276282964e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
62 +1.457164897e+05 +1.457164897e+05 +1.467164897e+05 +1.467164897e+05 -2.4379e+00 -1.3161e+00 -2.4895e+00 -1.4914e-01 +2.9300e+00 +3.9081e+00 +3.4634e+00 -2.4131e+00 +1.3177e+00 +2.9996e+00 -3.0474e+00 -2.7960e+00 +2.5168e+00 -3.9761e+00 -5.9963e-01 -3.9381e+00 -4.1025e+00 -2.1762e+00 +2.0345e+00 -4.9946e+00
% function evaluation | noise-free fitness - Fopt (-1.547600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.075857054e+06 +1.075857054e+06 +1.075702294e+06 +1.075702294e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
31 +6.035733358e+05 +6.035733358e+05 +6.034185758e+05 +6.034185758e+05 +4.5914e+00 +1.6071e+00 +2.0035e+00 -1.0751e+00 -8.7266e-01 -1.5045e-01 -2.0307e+00 -1.7077e+00 -4.1636e+00 +3.2952e+00 +2.6692e+00 +3.7742e+00 +3.2269e+00 +3.7532e+00 +2.1970e+00 -4.2566e+00 -3.6902e+00 -4.0384e+00 +3.5435e+00 -2.7284e+00
43 +3.869784394e+05 +3.869784394e+05 +3.868236794e+05 +3.868236794e+05 +3.6925e+00 -2.5115e-01 -4.8085e-01 -2.5271e+00 +3.4822e+00 +1.0089e+00 +4.0522e+00 -2.2203e+00 -4.4337e+00 +4.8420e+00 +1.3667e+00 -2.1969e+00 -2.2762e+00 +2.9880e+00 +4.4146e-01 +3.5301e+00 +2.2292e+00 -2.1860e+00 +4.5004e+00 -1.4546e-01
