% function evaluation | noise-free fitness - Fopt (3.914000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.241776270e+05 +1.241776270e+05 +1.242167670e+05 +1.242167670e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00
3 +4.606380313e+01 +4.606380313e+01 +8.520380313e+01 +8.520380313e+01 -8.5655e-01 +7.0947e-02 +3.0123e+00
48 +1.194619133e+01 +1.194619133e+01 +5.108619133e+01 +5.108619133e+01 -1.6243e+00 -2.8947e+00 +9.4687e-01
% function evaluation | noise-free fitness - Fopt (-1.186000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.835972935e+05 +5.835972935e+05 +5.835854335e+05 +5.835854335e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00
2 +2.850034307e+05 +2.850034307e+05 +2.849915707e+05 +2.849915707e+05 -1.5447e+00 +3.2123e+00 +1.0097e+00
5 +2.214286185e+05 +2.214286185e+05 +2.214167585e+05 +2.214167585e+05 -4.3597e+00 +2.2217e+00 +3.8513e-01
10 +4.609633490e+04 +4.609633490e+04 +4.608447490e+04 +4.608447490e+04 -4.1175e+00 +9.9079e-01 -1.7322e+00
12 +2.541563382e+04 +2.541563382e+04 +2.540377382e+04 +2.540377382e+04 -3.8838e+00 -4.7703e+00 -4.0203e+00
15 +7.231701384e+02 +7.231701384e+02 +7.113101384e+02 +7.113101384e+02 -3.6820e+00 +4.5300e-01 -3.5204e+00
26 +6.746151915e+01 +6.746151915e+01 +5.560151915e+01 +5.560151915e+01 -2.5095e+00 +8.0383e-01 -4.7298e+00
69 +2.510317375e+01 +2.510317375e+01 +1.324317375e+01 +1.324317375e+01 -7.8722e-01 -7.4041e-01 -4.1757e+00
% function evaluation | noise-free fitness - Fopt (7.068000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.498394818e+04 +7.498394818e+04 +7.505462818e+04 +7.505462818e+04 +3.6984e+00 +1.1787e+00 +2.1331e+00
2 +2.055600634e+04 +2.055600634e+04 +2.062668634e+04 +2.062668634e+04 -1.5447e+00 +3.2123e+00 +1.0097e+00
16 +6.260319183e+03 +6.260319183e+03 +6.330999183e+03 +6.330999183e+03 -3.8737e+00 +3.3869e+00 -3.0534e+00
29 +8.656589453e+02 +8.656589453e+02 +9.363389453e+02 +9.363389453e+02 +8.7332e-01 +3.7811e+00 +1.8706e-02
34 +1.249644485e+01 +1.249644485e+01 +8.317644485e+01 +8.317644485e+01 +5.8503e-01 +3.8828e+00 -1.1870e+00
% function evaluation | noise-free fitness - Fopt (-6.260000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.689343454e+04 +1.689343454e+04 +1.688717454e+04 +1.688717454e+04 +3.6984e+00 +1.1787e+00 +2.1331e+00
3 +5.765914090e+01 +5.765914090e+01 +5.139914090e+01 +5.139914090e+01 -8.5655e-01 +7.0947e-02 +3.0123e+00
48 +2.743696215e+01 +2.743696215e+01 +2.117696215e+01 +2.117696215e+01 -1.6243e+00 -2.8947e+00 +9.4687e-01
58 +2.322378733e+01 +2.322378733e+01 +1.696378733e+01 +1.696378733e+01 -3.2690e+00 -4.1450e+00 -3.8735e-01
% function evaluation | noise-free fitness - Fopt (1.838600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.316530131e+05 +5.316530131e+05 +5.318368731e+05 +5.318368731e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00
3 +1.908965937e+05 +1.908965937e+05 +1.910804537e+05 +1.910804537e+05 -8.5655e-01 +7.0947e-02 +3.0123e+00
6 +1.545858251e+04 +1.545858251e+04 +1.564244251e+04 +1.564244251e+04 -3.6670e+00 -2.7578e+00 +3.4628e+00
78 +9.423627849e+03 +9.423627849e+03 +9.607487849e+03 +9.607487849e+03 +4.0558e-02 -3.9965e+00 +3.0589e+00
