% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.155823524e+03 +2.155823524e+03 +2.248763524e+03 +2.248763524e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
9 +1.001458932e+03 +1.001458932e+03 +1.094398932e+03 +1.094398932e+03 -1.4005e+00 +4.0279e+00 +1.8361e+00 +1.1928e+00 -1.5728e+00 +4.1318e+00 -7.8069e-02 +7.7819e-01 +3.4488e+00 +2.1785e+00 -2.2266e+00 -3.2690e+00 -4.1450e+00 -3.8735e-01 -3.4129e+00 +1.8991e+00 -1.4349e+00 -7.2981e-01 -4.5699e+00 -2.8152e+00
32 +8.104153928e+02 +8.104153928e+02 +9.033553928e+02 +9.033553928e+02 -2.1464e+00 +2.5107e+00 +9.4361e-01 +5.6488e-01 -2.2824e+00 +4.9753e+00 +2.2340e+00 -2.7984e+00 -2.1522e+00 +1.0608e+00 +6.2286e-01 -4.0380e+00 +1.3622e+00 -4.0934e+00 +1.8802e+00 -1.2524e+00 +3.3431e+00 +2.3885e+00 -3.6165e+00 -4.9426e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.825579856e+03 +3.825579856e+03 +3.860929856e+03 +3.860929856e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
14 +2.144461001e+03 +2.144461001e+03 +2.179811001e+03 +2.179811001e+03 -4.1780e+00 +4.3552e+00 +1.0236e+00 -1.3673e+00 -4.2889e+00 -1.1912e+00 +3.1719e+00 -1.8347e-01 +4.7603e+00 -2.3866e+00 +1.1226e+00 -4.5378e+00 -2.4567e+00 +1.6748e+00 -1.4501e+00 -3.6386e+00 +4.8112e+00 +3.3996e+00 +4.0291e+00 -2.3993e+00
59 +1.365880749e+03 +1.365880749e+03 +1.401230749e+03 +1.401230749e+03 -1.2593e+00 -4.5731e+00 +2.1100e+00 -3.9326e-01 -8.4364e-01 +1.0580e+00 +9.8567e-01 +3.5152e+00 +1.7421e+00 +1.9561e+00 +3.5689e+00 -1.8851e+00 +8.1985e-01 +3.3178e+00 +4.7658e+00 +1.6200e+00 +1.8360e+00 -4.0153e+00 +4.3385e+00 -4.0177e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.005999643e+03 +1.005999643e+03 +1.009819643e+03 +1.009819643e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
31 +9.596234978e+02 +9.596234978e+02 +9.634434978e+02 +9.634434978e+02 +4.5914e+00 +1.6071e+00 +2.0035e+00 -1.0751e+00 -8.7266e-01 -1.5045e-01 -2.0307e+00 -1.7077e+00 -4.1636e+00 +3.2952e+00 +2.6692e+00 +3.7742e+00 +3.2269e+00 +3.7532e+00 +2.1970e+00 -4.2566e+00 -3.6902e+00 -4.0384e+00 +3.5435e+00 -2.7284e+00
53 +4.026941335e+02 +4.026941335e+02 +4.065141335e+02 +4.065141335e+02 +4.2101e+00 +2.5669e+00 +4.5798e+00 -3.4200e+00 +2.4851e+00 +2.2758e-03 -1.3961e+00 +2.3018e-01 +2.1032e+00 -3.5584e+00 +2.7172e+00 -1.7269e+00 -5.4868e-01 -1.8593e+00 -1.0155e+00 +2.2644e+00 +2.6706e+00 +3.6922e+00 -7.3420e-01 -6.4789e-01
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
