% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.890457605e+02 +2.890457605e+02 +3.685257605e+02 +3.685257605e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +2.421005308e+02 +2.421005308e+02 +3.215805308e+02 +3.215805308e+02 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
18 +1.308913002e+02 +1.308913002e+02 +2.103713002e+02 +2.103713002e+02 -3.9024e-01 -2.8740e+00 -2.2689e+00 +1.2948e+00 +1.4631e+00 -2.0998e+00 -3.3686e+00 +6.3188e-01 -2.8744e+00 -3.8943e-01 -1.6773e+00 -7.4516e-01 -1.7111e+00 +4.4473e-01 -1.6000e+00 -2.4239e-01 +4.0083e+00 -4.0709e+00 +4.0890e+00 +3.2711e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.598875019e+02 +3.598875019e+02 +7.543675019e+02 +7.543675019e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +1.598143736e+02 +1.598143736e+02 +5.542943736e+02 +5.542943736e+02 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
58 +1.244351459e+02 +1.244351459e+02 +5.189151459e+02 +5.189151459e+02 -4.2756e-01 +2.6690e+00 -4.2579e+00 -1.5613e+00 +7.7503e-01 -4.9958e+00 +1.7784e+00 +1.9698e+00 -3.5460e+00 -2.6438e+00 +1.1548e+00 +3.3292e+00 +1.8383e+00 +3.0116e+00 -4.3972e+00 +3.2521e+00 -4.3499e+00 -9.2214e-01 -3.1302e+00 -1.9841e+00
80 +8.335284260e+01 +8.335284260e+01 +4.778328426e+02 +4.778328426e+02 -3.7802e+00 -2.7083e+00 -3.7744e+00 +9.5104e-01 -4.8643e+00 -4.9300e+00 +3.4533e+00 -3.1004e+00 +1.1997e-01 -3.4337e+00 +5.1026e-02 -4.6759e-01 +1.7274e+00 +2.3175e+00 -2.8224e+00 +4.8373e+00 -6.0567e-01 +1.2575e+00 +2.2691e+00 +1.8110e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.121369826e+02 +3.121369826e+02 +6.502698256e+01 +6.502698256e+01 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
