% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.217916917e+05 +3.217916917e+05 +3.212451917e+05 +3.212451917e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +2.194375747e+05 +2.194375747e+05 +2.188910747e+05 +2.188910747e+05 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
4 +1.327756619e+05 +1.327756619e+05 +1.322291619e+05 +1.322291619e+05 +4.6560e+00 -4.6556e+00 -4.3050e+00 +4.2233e+00 +4.2652e+00 +3.9650e+00 -3.9738e+00 +2.9711e+00 +4.2334e+00 -4.9474e+00 +1.9460e+00 -9.4486e-01 -3.2559e+00 -1.1383e+00 +2.4925e+00 -2.5095e+00 +8.0383e-01 -4.7298e+00 +8.8745e-01 +3.8622e+00
6 +6.003368345e+04 +6.003368345e+04 +5.948718345e+04 +5.948718345e+04 +3.8828e+00 -1.1870e+00 +1.6380e+00 +3.8079e+00 -4.8715e+00 +3.3393e+00 -1.0053e+00 -3.8455e+00 -4.0750e+00 +2.6397e+00 +2.4054e+00 +1.4662e+00 +3.7271e+00 -3.6561e+00 -9.0829e-01 +1.6897e-01 +1.9600e-01 -3.3165e+00 -3.0456e+00 +1.5240e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.142536709e+05 +2.142536709e+05 +2.152536709e+05 +2.152536709e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
4 +7.893610880e+04 +7.893610880e+04 +7.993610880e+04 +7.993610880e+04 +4.6560e+00 -4.6556e+00 -4.3050e+00 +4.2233e+00 +4.2652e+00 +3.9650e+00 -3.9738e+00 +2.9711e+00 +4.2334e+00 -4.9474e+00 +1.9460e+00 -9.4486e-01 -3.2559e+00 -1.1383e+00 +2.4925e+00 -2.5095e+00 +8.0383e-01 -4.7298e+00 +8.8745e-01 +3.8622e+00
69 +3.511112250e+04 +3.511112250e+04 +3.611112250e+04 +3.611112250e+04 -5.0248e-01 +4.9511e-01 -3.4014e+00 -9.5300e-01 -3.0376e+00 +4.5410e+00 +1.7338e+00 +3.7842e+00 -1.4268e+00 -4.7286e+00 -2.7710e+00 -1.9661e+00 +1.2024e+00 -3.7442e+00 -2.6113e+00 -1.1601e+00 +4.5930e-01 -2.7309e+00 -5.5567e-01 +4.6034e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.075491710e+05 +1.075491710e+05 +1.077575510e+05 +1.077575510e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
27 +7.763280930e+04 +7.763280930e+04 +7.784118930e+04 +7.784118930e+04 -3.4056e+00 -4.1559e+00 -1.2823e+00 +3.9305e+00 -3.6471e+00 +4.5092e+00 -4.7421e-01 +1.9545e+00 +2.4643e+00 -1.3566e+00 +4.6607e+00 -2.7207e+00 +2.4319e+00 -4.4369e+00 +3.3489e+00 -2.3238e+00 +3.4932e+00 -1.9311e+00 +1.3139e+00 +4.0151e+00
61 +3.569451924e+04 +3.569451924e+04 +3.590289924e+04 +3.590289924e+04 -1.3917e+00 +3.5897e+00 +1.9687e+00 +1.3176e+00 +4.8593e-01 +8.9325e-01 +4.9447e+00 -3.5689e-01 -4.7733e+00 +3.8220e-01 +1.0343e+00 +1.9273e+00 +1.6192e+00 -3.6633e+00 -6.8033e-01 -3.5874e+00 +1.3798e+00 +2.7304e+00 +3.4348e+00 +3.8338e+00
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.432003078e+05 +1.432003078e+05 +1.430553478e+05 +1.430553478e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
5 +9.968783678e+04 +9.968783678e+04 +9.954287678e+04 +9.954287678e+04 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
73 +5.477208425e+04 +5.477208425e+04 +5.462712425e+04 +5.462712425e+04 -4.5164e+00 +3.5115e+00 +4.0408e+00 +2.6030e+00 -1.1525e+00 -2.1446e+00 +3.6249e-01 +3.4583e+00 -3.6312e+00 -3.6448e+00 -1.5425e+00 +2.8207e+00 +1.9912e+00 +2.6966e+00 -2.9536e+00 +3.8123e+00 -5.4226e-01 -2.3956e+00 +3.0262e+00 -1.7294e+00
% function evaluation | noise-free fitness - Fopt (-6.300000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.549413976e+05 +1.549413976e+05 +1.549350976e+05 +1.549350976e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +9.530159947e+04 +9.530159947e+04 +9.529529947e+04 +9.529529947e+04 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
9 +4.555085038e+04 +4.555085038e+04 +4.554455038e+04 +4.554455038e+04 -1.4005e+00 +4.0279e+00 +1.8361e+00 +1.1928e+00 -1.5728e+00 +4.1318e+00 -7.8069e-02 +7.7819e-01 +3.4488e+00 +2.1785e+00 -2.2266e+00 -3.2690e+00 -4.1450e+00 -3.8735e-01 -3.4129e+00 +1.8991e+00 -1.4349e+00 -7.2981e-01 -4.5699e+00 -2.8152e+00
