% function evaluation | noise-free fitness - Fopt (-1.270400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.354977678e+05 +1.354977678e+05 +1.353707278e+05 +1.353707278e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
33 +5.685336603e+04 +5.685336603e+04 +5.672632603e+04 +5.672632603e+04 +4.5746e+00 -2.0261e+00 -1.5587e+00 +1.7746e+00 +7.6932e-01 -3.5282e+00 +2.6288e+00 +3.6699e+00 -2.3914e-01 +3.4390e+00 -3.5116e+00 -3.5025e+00 +3.2925e+00 -2.3709e+00 +1.8350e+00 -3.3833e+00 -1.1747e+00 +1.8524e+00 +2.6345e+00 +1.1008e+00
% function evaluation | noise-free fitness - Fopt (-3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.344896658e+04 +3.344896658e+04 +3.341144658e+04 +3.341144658e+04 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
% function evaluation | noise-free fitness - Fopt (-3.311600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.714539345e+05 +1.714539345e+05 +1.711227745e+05 +1.711227745e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +1.436184253e+05 +1.436184253e+05 +1.432872653e+05 +1.432872653e+05 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
29 +9.533084734e+04 +9.533084734e+04 +9.499968734e+04 +9.499968734e+04 +3.2899e+00 -2.6286e+00 -4.4565e+00 +3.6477e+00 +2.1534e+00 -3.0050e+00 +1.0411e+00 -4.3664e+00 -4.5922e+00 -2.5351e+00 -2.8882e+00 +3.9202e+00 +2.3275e-01 -5.5415e-01 +2.8055e-01 +2.5046e+00 +4.6176e+00 +2.7306e+00 -3.4691e+00 +6.1016e-01
53 +5.158812409e+04 +5.158812409e+04 +5.125696409e+04 +5.125696409e+04 +4.2101e+00 +2.5669e+00 +4.5798e+00 -3.4200e+00 +2.4851e+00 +2.2758e-03 -1.3961e+00 +2.3018e-01 +2.1032e+00 -3.5584e+00 +2.7172e+00 -1.7269e+00 -5.4868e-01 -1.8593e+00 -1.0155e+00 +2.2644e+00 +2.6706e+00 +3.6922e+00 -7.3420e-01 -6.4789e-01
% function evaluation | noise-free fitness - Fopt (4.481000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.951063567e+04 +8.951063567e+04 +8.955544567e+04 +8.955544567e+04 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
28 +4.628683829e+04 +4.628683829e+04 +4.633164829e+04 +4.633164829e+04 +5.4614e-01 -3.0977e-01 +8.1796e-01 +9.0493e-01 -1.9825e+00 -3.6743e+00 +3.0444e+00 +1.2164e+00 +3.5955e+00 -1.8303e+00 +1.9040e+00 -3.8622e-01 -3.3380e+00 +3.3910e+00 -1.0533e+00 -6.7269e-01 -1.9267e+00 +4.5029e+00 -8.4398e-01 +1.7211e+00
% function evaluation | noise-free fitness - Fopt (-1.764600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.890915020e+05 +1.890915020e+05 +1.889150420e+05 +1.889150420e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
5 +9.306110420e+04 +9.306110420e+04 +9.288464420e+04 +9.288464420e+04 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
