% function evaluation | noise-free fitness - Fopt (2.906200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.249111046e+02 +4.249111046e+02 +7.155311046e+02 +7.155311046e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +3.455958245e+02 +3.455958245e+02 +6.362158245e+02 +6.362158245e+02 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
96 +2.449253040e+02 +2.449253040e+02 +5.355453040e+02 +5.355453040e+02 +4.4138e+00 +1.7930e+00 +1.1068e+00 -5.9416e-01 -3.1273e+00 -1.1632e+00 -3.9607e+00 -2.9261e+00 -1.1896e+00 +1.7807e+00 -2.1454e+00 -4.2988e+00 -1.5568e+00 +2.3708e+00 +1.9660e+00 +3.7444e+00 +3.1834e+00 -3.2736e+00 +2.1965e+00 -1.9461e+00
% function evaluation | noise-free fitness - Fopt (-1.015300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.318894756e+02 +4.318894756e+02 +3.303594756e+02 +3.303594756e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +3.527630142e+02 +3.527630142e+02 +2.512330142e+02 +2.512330142e+02 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
% function evaluation | noise-free fitness - Fopt (3.019700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.936188869e+02 +3.936188869e+02 +6.955888869e+02 +6.955888869e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
48 +2.411281834e+02 +2.411281834e+02 +5.430981834e+02 +5.430981834e+02 +3.3673e+00 -3.9727e+00 -4.4238e+00 +3.0846e+00 -4.9388e+00 +4.6606e+00 -4.3931e+00 -1.1911e+00 +1.4869e+00 -3.2329e+00 -1.4589e+00 +1.9684e+00 -4.6354e+00 +1.1918e+00 +4.7333e+00 +3.8069e+00 -2.9440e+00 +1.3877e+00 +4.4864e+00 +2.5415e+00
% function evaluation | noise-free fitness - Fopt (-6.561000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.503050336e+02 +4.503050336e+02 +3.846950336e+02 +3.846950336e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
4 +2.693219167e+02 +2.693219167e+02 +2.037119167e+02 +2.037119167e+02 +4.6560e+00 -4.6556e+00 -4.3050e+00 +4.2233e+00 +4.2652e+00 +3.9650e+00 -3.9738e+00 +2.9711e+00 +4.2334e+00 -4.9474e+00 +1.9460e+00 -9.4486e-01 -3.2559e+00 -1.1383e+00 +2.4925e+00 -2.5095e+00 +8.0383e-01 -4.7298e+00 +8.8745e-01 +3.8622e+00
% function evaluation | noise-free fitness - Fopt (-3.569000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.805761725e+02 +2.805761725e+02 +2.448861725e+02 +2.448861725e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
14 +1.915081892e+02 +1.915081892e+02 +1.558181892e+02 +1.558181892e+02 -4.1780e+00 +4.3552e+00 +1.0236e+00 -1.3673e+00 -4.2889e+00 -1.1912e+00 +3.1719e+00 -1.8347e-01 +4.7603e+00 -2.3866e+00 +1.1226e+00 -4.5378e+00 -2.4567e+00 +1.6748e+00 -1.4501e+00 -3.6386e+00 +4.8112e+00 +3.3996e+00 +4.0291e+00 -2.3993e+00
