% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.094715602e+02 +7.094715602e+02 +8.120815602e+02 +8.120815602e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
18 +5.228722218e+02 +5.228722218e+02 +6.254822218e+02 +6.254822218e+02 -3.9024e-01 -2.8740e+00 -2.2689e+00 +1.2948e+00 +1.4631e+00 -2.0998e+00 -3.3686e+00 +6.3188e-01 -2.8744e+00 -3.8943e-01 -1.6773e+00 -7.4516e-01 -1.7111e+00 +4.4473e-01 -1.6000e+00 -2.4239e-01 +4.0083e+00 -4.0709e+00 +4.0890e+00 +3.2711e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.495321035e+02 +6.495321035e+02 +7.428321035e+02 +7.428321035e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
17 +6.086791867e+02 +6.086791867e+02 +7.019791867e+02 +7.019791867e+02 -4.6348e-01 -1.2142e+00 -1.8215e+00 +2.4228e+00 +1.5386e+00 +2.7974e+00 -1.3636e+00 +3.9759e+00 +3.3439e+00 +1.6748e+00 -6.3943e-01 +1.6363e-01 -3.4782e+00 -4.1129e-01 -4.0606e-01 -3.4226e-01 -3.8379e+00 -7.8617e-01 -4.4380e+00 -2.7828e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.181818438e+02 +7.181818438e+02 +7.318218438e+02 +7.318218438e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
18 +5.619758813e+02 +5.619758813e+02 +5.756158813e+02 +5.756158813e+02 -3.9024e-01 -2.8740e+00 -2.2689e+00 +1.2948e+00 +1.4631e+00 -2.0998e+00 -3.3686e+00 +6.3188e-01 -2.8744e+00 -3.8943e-01 -1.6773e+00 -7.4516e-01 -1.7111e+00 +4.4473e-01 -1.6000e+00 -2.4239e-01 +4.0083e+00 -4.0709e+00 +4.0890e+00 +3.2711e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.671420470e+02 +6.671420470e+02 +8.619420470e+02 +8.619420470e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
28 +6.288191142e+02 +6.288191142e+02 +8.236191142e+02 +8.236191142e+02 +5.4614e-01 -3.0977e-01 +8.1796e-01 +9.0493e-01 -1.9825e+00 -3.6743e+00 +3.0444e+00 +1.2164e+00 +3.5955e+00 -1.8303e+00 +1.9040e+00 -3.8622e-01 -3.3380e+00 +3.3910e+00 -1.0533e+00 -6.7269e-01 -1.9267e+00 +4.5029e+00 -8.4398e-01 +1.7211e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.808250079e+02 +6.808250079e+02 +5.472350079e+02 +5.472350079e+02 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
17 +5.750042061e+02 +5.750042061e+02 +4.414142061e+02 +4.414142061e+02 -4.6348e-01 -1.2142e+00 -1.8215e+00 +2.4228e+00 +1.5386e+00 +2.7974e+00 -1.3636e+00 +3.9759e+00 +3.3439e+00 +1.6748e+00 -6.3943e-01 +1.6363e-01 -3.4782e+00 -4.1129e-01 -4.0606e-01 -3.4226e-01 -3.8379e+00 -7.8617e-01 -4.4380e+00 -2.7828e+00
