% function evaluation | noise-free fitness - Fopt (-5.984300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.004310215e+07 +6.004310215e+07 +6.004250372e+07 +6.004250372e+07 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +3.722917393e+07 +3.722917393e+07 +3.722857550e+07 +3.722857550e+07 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
3 +2.592769620e+02 +2.592769620e+02 -3.391530380e+02 -3.391530380e+02 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
% function evaluation | noise-free fitness - Fopt (-8.542000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.075809211e+06 +1.075809211e+06 +1.075723791e+06 +1.075723791e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +5.188690960e+05 +5.188690960e+05 +5.187836760e+05 +5.187836760e+05 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
5 +4.039836842e+03 +4.039836842e+03 +3.954416842e+03 +3.954416842e+03 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
38 +1.001663666e+03 +1.001663666e+03 +9.162436665e+02 +9.162436665e+02 -7.3833e-01 -3.1853e+00 +1.7559e+00 -1.2870e+00 -3.5327e+00 +4.8902e-01 -9.6921e-01 +2.5671e+00 -1.0138e+00 +4.8932e+00 -7.6484e-01 -3.7563e+00 +2.1947e+00 -3.4233e+00 -4.7501e+00 +2.4590e+00 -1.0803e+00 +3.8358e+00 -1.7379e+00 -9.9841e-01
81 +2.567215111e+02 +2.567215111e+02 +1.713015111e+02 +1.713015111e+02 -1.3127e+00 +1.0497e+00 -7.1216e-01 +3.6165e+00 -3.0552e+00 -3.3062e+00 +1.4700e+00 -4.5280e+00 +3.5570e+00 -3.8177e+00 +4.0268e+00 +2.7987e+00 -2.3437e+00 -3.9140e+00 +2.2164e+00 +1.6195e+00 +1.9978e+00 -3.7239e+00 +1.5429e+00 +2.7308e-01
% function evaluation | noise-free fitness - Fopt (1.932500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.793853405e+07 +3.793853405e+07 +3.793872730e+07 +3.793872730e+07 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +3.782929732e+05 +3.782929732e+05 +3.784862232e+05 +3.784862232e+05 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
20 +5.451359451e+04 +5.451359451e+04 +5.470684451e+04 +5.470684451e+04 -7.5780e-01 -1.1157e-01 +7.3709e-01 -4.6407e+00 -2.6740e+00 -4.5940e+00 -3.1744e+00 -1.3496e+00 -1.4738e+00 +2.6441e+00 -3.7722e+00 +4.2144e+00 -2.0379e+00 +4.6783e+00 -8.7739e-01 +1.0890e+00 +2.2344e-01 +2.6992e+00 +1.5822e+00 -4.8664e+00
26 +9.597488806e+03 +9.597488806e+03 +9.790738806e+03 +9.790738806e+03 -4.5317e+00 +9.8614e-01 +4.3928e+00 -1.5656e+00 +2.1134e+00 -2.3651e+00 +4.8166e+00 +6.2291e-01 +4.8026e+00 -3.1105e+00 -2.2710e+00 +3.4779e+00 +2.2935e+00 -4.9419e+00 -4.6278e+00 -4.3277e+00 -1.9848e+00 -1.0319e+00 +2.0983e-03 +4.7048e+00
54 +7.877291397e+02 +7.877291397e+02 +9.809791397e+02 +9.809791397e+02 -2.4648e-01 +1.3076e+00 -1.6404e+00 +2.1970e+00 +3.7307e+00 -4.8035e+00 -4.8646e+00 -4.8415e+00 -2.6354e+00 -1.2942e+00 +1.7789e+00 +1.3327e-01 -1.2352e+00 -2.3627e-01 +6.4415e-02 -1.6344e+00 +3.0699e+00 +2.2282e+00 +1.6216e+00 +5.2077e-01
% function evaluation | noise-free fitness - Fopt (-1.815000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.640242054e+04 +2.640242054e+04 +2.622092054e+04 +2.622092054e+04 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
5 +1.168590779e+03 +1.168590779e+03 +9.870907794e+02 +9.870907794e+02 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
% function evaluation | noise-free fitness - Fopt (4.526200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.925227113e+05 +1.925227113e+05 +1.929753313e+05 +1.929753313e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
19 +1.547465918e+05 +1.547465918e+05 +1.551992118e+05 +1.551992118e+05 +1.0447e+00 +9.9770e-01 +2.7568e+00 +7.5323e-02 +1.1842e+00 -1.8764e+00 -3.4019e-03 +3.4584e+00 -2.2559e+00 -2.5383e+00 -4.9492e+00 +3.3619e+00 -3.3091e-01 -5.9185e-01 +1.3378e+00 -4.0070e+00 +2.1210e+00 +1.0354e+00 -4.9821e+00 +2.1663e+00
34 +8.816596977e+04 +8.816596977e+04 +8.861858977e+04 +8.861858977e+04 +1.4268e+00 +1.0758e+00 +2.7575e-01 -3.2961e+00 +2.7488e+00 +2.6363e+00 -4.7522e+00 -1.2214e+00 +1.4334e+00 +9.1845e-01 +1.9226e+00 +8.4740e-01 +4.0986e+00 +3.3897e+00 +4.1991e+00 -6.3911e-01 +4.0360e+00 +2.2463e+00 -4.4948e+00 +2.4644e+00
49 +4.469850158e+02 +4.469850158e+02 +8.996050158e+02 +8.996050158e+02 -1.2101e+00 -2.8012e+00 +3.2141e+00 -1.6331e-01 +2.2009e+00 +1.0725e+00 -1.3568e+00 -4.5833e+00 -1.7194e+00 -1.0332e+00 +3.5355e+00 +1.5529e+00 -8.6011e-03 -3.1885e-01 -3.4771e+00 +4.7470e+00 +3.5571e+00 +4.7761e+00 +3.9013e+00 -3.0438e+00
