% function evaluation | noise-free fitness - Fopt (-5.984300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.159145301e+06 +5.159145301e+06 +5.158546871e+06 +5.158546871e+06
2 +2.412752960e+05 +2.412752960e+05 +2.406768660e+05 +2.406768660e+05
19 +1.218258356e+05 +1.218258356e+05 +1.212274056e+05 +1.212274056e+05
20 +2.506509290e+03 +2.506509290e+03 +1.908079290e+03 +1.908079290e+03
90 +1.348468685e+03 +1.348468685e+03 +7.500386854e+02 +7.500386854e+02
% function evaluation | noise-free fitness - Fopt (-8.542000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.870027537e+05 +3.870027537e+05 +3.869173337e+05 +3.869173337e+05
9 +8.606329660e+04 +8.606329660e+04 +8.597787660e+04 +8.597787660e+04
10 +1.913145377e+03 +1.913145377e+03 +1.827725377e+03 +1.827725377e+03
% function evaluation | noise-free fitness - Fopt (1.932500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.273270148e+06 +6.273270148e+06 +6.273463398e+06 +6.273463398e+06
2 +3.106528559e+05 +3.106528559e+05 +3.108461059e+05 +3.108461059e+05
14 +1.855040312e+05 +1.855040312e+05 +1.856972812e+05 +1.856972812e+05
15 +1.440107184e+03 +1.440107184e+03 +1.633357184e+03 +1.633357184e+03
% function evaluation | noise-free fitness - Fopt (-1.815000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.509712812e+05 +5.509712812e+05 +5.507897812e+05 +5.507897812e+05
7 +9.733362140e+03 +9.733362140e+03 +9.551862140e+03 +9.551862140e+03
30 +4.373704796e+03 +4.373704796e+03 +4.192204796e+03 +4.192204796e+03
73 +2.996192195e+03 +2.996192195e+03 +2.814692195e+03 +2.814692195e+03
% function evaluation | noise-free fitness - Fopt (4.526200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.266553531e+07 +3.266553531e+07 +3.266598793e+07 +3.266598793e+07
3 +1.632807860e+07 +1.632807860e+07 +1.632853122e+07 +1.632853122e+07
13 +4.755593813e+05 +4.755593813e+05 +4.760120013e+05 +4.760120013e+05
95 +2.563233916e+05 +2.563233916e+05 +2.567760116e+05 +2.567760116e+05
