% function evaluation | noise-free fitness - Fopt (-1.184600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.001557505e+07 +4.001557505e+07 +4.001545659e+07 +4.001545659e+07 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +1.882965253e+07 +1.882965253e+07 +1.882953407e+07 +1.882953407e+07 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
3 +2.228702730e+06 +2.228702730e+06 +2.228584270e+06 +2.228584270e+06 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
37 +4.960203759e+05 +4.960203759e+05 +4.959019159e+05 +4.959019159e+05 -1.0614e+00 -2.4325e+00 +1.5455e+00 -3.8599e+00 +3.2256e+00 -9.3639e-01 +4.3772e+00 +2.2430e+00 -4.4626e+00 -1.0518e+00 +2.5363e+00 +4.9515e+00 -2.0307e+00 +3.9696e-01 +3.7441e+00 -4.1572e+00 -2.4543e+00 +3.5797e+00 -3.7611e+00 +2.0296e+00
83 +5.571594095e+04 +5.571594095e+04 +5.559748095e+04 +5.559748095e+04 -2.8564e+00 -4.5727e+00 +2.9756e+00 +1.7048e+00 -6.6754e-01 +1.8368e+00 -3.1148e+00 -3.4012e+00 -3.5932e+00 +3.9085e-02 -1.1509e+00 -3.0706e+00 -3.9428e-01 -3.7681e+00 +6.5343e-02 -1.6281e+00 +1.2215e+00 -3.2471e+00 +2.3186e+00 -1.3680e+00
% function evaluation | noise-free fitness - Fopt (9.973000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.590282119e+06 +6.590282119e+06 +6.590381849e+06 +6.590381849e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +2.563253346e+06 +2.563253346e+06 +2.563353076e+06 +2.563353076e+06 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
12 +9.481029348e+04 +9.481029348e+04 +9.491002348e+04 +9.491002348e+04 -3.2989e+00 +1.6448e+00 +1.8198e+00 +2.0942e-01 +1.8632e+00 +4.0093e+00 -1.3215e+00 +4.3981e+00 -3.4588e+00 -4.6136e+00 -1.4208e+00 +4.0558e-02 -3.9965e+00 +3.0589e+00 -6.5893e-01 -2.9457e+00 -4.6390e+00 +4.5621e+00 -4.2239e+00 -3.9365e-01
19 +4.200075543e+04 +4.200075543e+04 +4.210048543e+04 +4.210048543e+04 +1.0447e+00 +9.9770e-01 +2.7568e+00 +7.5323e-02 +1.1842e+00 -1.8764e+00 -3.4019e-03 +3.4584e+00 -2.2559e+00 -2.5383e+00 -4.9492e+00 +3.3619e+00 -3.3091e-01 -5.9185e-01 +1.3378e+00 -4.0070e+00 +2.1210e+00 +1.0354e+00 -4.9821e+00 +2.1663e+00
