% function evaluation | noise-free fitness - Fopt (-2.778000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.616883771e+01 +9.616883771e+01 +6.838883771e+01 +6.838883771e+01 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
6 +5.258688022e+01 +5.258688022e+01 +2.480688022e+01 +2.480688022e+01 +3.8828e+00 -1.1870e+00 +1.6380e+00 +3.8079e+00 -4.8715e+00 +3.3393e+00 -1.0053e+00 -3.8455e+00 -4.0750e+00 +2.6397e+00 +2.4054e+00 +1.4662e+00 +3.7271e+00 -3.6561e+00 -9.0829e-01 +1.6897e-01 +1.9600e-01 -3.3165e+00 -3.0456e+00 +1.5240e+00
85 +3.679271144e+01 +3.679271144e+01 +9.012711440e+00 +9.012711440e+00 +9.6945e-01 +1.9026e+00 +7.4186e-01 +4.6426e+00 -1.0803e+00 +6.3713e-02 -1.2045e+00 -1.1125e-01 -8.2901e-01 +1.4324e-01 +4.1289e+00 +4.3458e+00 -1.9194e-01 +3.5242e+00 -3.5119e+00 -2.2621e+00 -2.5117e+00 -1.9791e+00 +1.8212e+00 +2.6145e-01
% function evaluation | noise-free fitness - Fopt (-4.871000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.505631028e+01 +6.505631028e+01 +1.634631028e+01 +1.634631028e+01 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
5 +5.432939023e+01 +5.432939023e+01 +5.619390235e+00 +5.619390235e+00 -4.3207e+00 +2.6995e-01 +3.7421e+00 -2.9507e+00 +8.7332e-01 +3.7811e+00 +1.8706e-02 +2.9112e+00 +3.4771e+00 -2.2954e+00 -2.1277e+00 -3.8001e+00 -1.6285e+00 +4.2534e+00 -3.7688e-01 +1.0537e+00 -4.2138e+00 -3.8532e-01 +1.1566e+00 +5.8503e-01
26 +3.971078122e+01 +3.971078122e+01 -8.999218777e+00 -8.999218777e+00 -4.5317e+00 +9.8614e-01 +4.3928e+00 -1.5656e+00 +2.1134e+00 -2.3651e+00 +4.8166e+00 +6.2291e-01 +4.8026e+00 -3.1105e+00 -2.2710e+00 +3.4779e+00 +2.2935e+00 -4.9419e+00 -4.6278e+00 -4.3277e+00 -1.9848e+00 -1.0319e+00 +2.0983e-03 +4.7048e+00
% function evaluation | noise-free fitness - Fopt (-1.667900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.840449123e+01 +9.840449123e+01 -6.838550877e+01 -6.838550877e+01 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +5.232497916e+01 +5.232497916e+01 -1.144650208e+02 -1.144650208e+02 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.394089712e+01 +8.394089712e+01 +1.083940897e+03 +1.083940897e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +6.096706060e+01 +6.096706060e+01 +1.060967061e+03 +1.060967061e+03 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
88 +3.356415575e+01 +3.356415575e+01 +1.033564156e+03 +1.033564156e+03 -3.9433e+00 +3.7575e+00 +3.2321e+00 -2.6502e+00 -1.8719e+00 +2.2951e+00 -1.0095e+00 +2.1715e+00 -1.0422e+00 +1.2566e-01 -1.1299e+00 -6.2554e-01 -1.3608e+00 +4.1848e+00 +3.6202e+00 -1.4001e+00 -7.1147e-02 -1.6680e+00 -4.7399e+00 -1.3123e+00
% function evaluation | noise-free fitness - Fopt (-1.847000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.033344182e+01 +9.033344182e+01 +7.186344182e+01 +7.186344182e+01 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
4 +6.043347156e+01 +6.043347156e+01 +4.196347156e+01 +4.196347156e+01 +4.6560e+00 -4.6556e+00 -4.3050e+00 +4.2233e+00 +4.2652e+00 +3.9650e+00 -3.9738e+00 +2.9711e+00 +4.2334e+00 -4.9474e+00 +1.9460e+00 -9.4486e-01 -3.2559e+00 -1.1383e+00 +2.4925e+00 -2.5095e+00 +8.0383e-01 -4.7298e+00 +8.8745e-01 +3.8622e+00
30 +3.762159037e+01 +3.762159037e+01 +1.915159037e+01 +1.915159037e+01 -2.5113e+00 +2.7322e+00 +1.9575e+00 +1.6272e+00 -2.2267e+00 +1.8557e+00 -4.6673e+00 +9.8830e-01 +2.6269e+00 +1.3838e+00 -3.1504e-01 -1.6506e+00 +2.1512e+00 -2.7632e+00 -1.8127e+00 +4.9649e+00 -2.9576e+00 -3.6872e+00 -3.0049e+00 +4.8815e+00
